year,sex,name,n,prop
1987,F,Nicholas,160,8.539e-5
1987,F,Steven,114,6.084e-5
1987,F,Jason,112,5.977e-5
1987,F,Isabella,74,3.949e-5
1987,F,Amira,51,2.722e-5
1987,F,Tony,42,2.241e-5
1987,F,Delina,21,1.121e-5
1987,F,Ian,20,1.067e-5
1987,F,Omar,15,8e-6
1987,F,Corbin,8,4.27e-6
1987,F,Grant,7,3.74e-6
1987,M,Michael,63647,0.03264834
1987,M,Matthew,46481,0.02384288
1987,M,Nicholas,23251,0.01192683
1987,M,Jason,19343,0.00992218
1987,M,Steven,17761,0.00911068
1987,M,Ian,3924,0.00201285
1987,M,Tony,2290,0.00117468
1987,M,Grant,1562,8.0124e-4
1987,M,Omar,1287,6.6018e-4
1987,M,Kelly,786,4.0319e-4
1987,M,Ethan,654,3.3548e-4
1987,M,Saul,429,2.2006e-4
1987,M,Robin,303,1.5543e-4
1987,M,Corbin,234,1.2003e-4
1987,M,Sarah,110,5.643e-5
1987,M,Christina,85,4.36e-5
1987,M,Nicole,76,3.898e-5
1987,M,Ace,44,2.257e-5
1987,M,Katherine,44,2.257e-5
1987,M,Kristin,44,2.257e-5
1987,M,Alicia,35,1.795e-5
1987,M,Julie,25,1.282e-5
1987,M,Caroline,11,5.64e-6
1987,M,Niels,9,4.62e-6
1987,M,Audrey,8,4.1e-6
1987,M,Hailey,6,3.08e-6
1988,F,Sarah,28366,0.01475413
1988,F,Nicole,20310,0.01056393
1988,F,Christina,12955,0.00673834
1988,F,Katherine,11149,0.00579898
1988,F,Kelly,8912,0.00463544
1988,F,Alicia,6697,0.00348334
1988,F,Kristin,6020,0.00313121
1988,F,Julie,4459,0.00231928
1988,F,Caroline,2322,0.00120775
1988,F,Robin,1765,9.1804e-4
1988,F,Audrey,1555,8.0881e-4
1988,F,Hailey,672,3.4953e-4
1988,F,Michael,480,2.4966e-4
1988,F,Serena,416,2.1638e-4
1988,F,Maya,287,1.4928e-4
1988,F,Matthew,253,1.3159e-4
1988,F,Nicholas,135,7.022e-5
1988,F,Steven,123,6.398e-5
1988,F,Jason,91,4.733e-5
1988,F,Isabella,80,4.161e-5
1988,F,Amira,78,4.057e-5
1988,F,Ian,33,1.716e-5
1988,F,Tony,21,1.092e-5
1988,F,Delina,19,9.88e-6
1988,F,Corbin,13,6.76e-6
1988,F,Omar,12,6.24e-6
1988,F,Grant,10,5.2e-6
1988,F,Anusha,5,2.6e-6
1988,F,Saul,5,2.6e-6
1988,M,Michael,64133,0.03204521
1988,M,Matthew,45868,0.02291877
1988,M,Nicholas,25291,0.0126371
1988,M,Steven,17859,0.00892357
1988,M,Jason,15904,0.0079467200000000009
1988,M,Ian,4314,0.00215557
1988,M,Tony,2243,0.00112076
1988,M,Grant,1622,8.1046e-4
1988,M,Omar,1425,7.1203e-4
1988,M,Ethan,895,4.472e-4
1988,M,Kelly,738,3.6875e-4
1988,M,Saul,435,2.1736e-4
1988,M,Corbin,374,1.8688e-4
1988,M,Robin,325,1.6239e-4
1988,M,Christina,94,4.697e-5
1988,M,Sarah,88,4.397e-5
1988,M,Nicole,59,2.948e-5
1988,M,Ace,48,2.398e-5
1988,M,Katherine,42,2.099e-5
1988,M,Alicia,29,1.449e-5
1988,M,Kristin,27,1.349e-5
1988,M,Julie,26,1.299e-5
1988,M,Audrey,16,7.99e-6
1988,M,Niels,11,5.5e-6
1988,M,Caroline,8,4e-6
1988,M,Hailey,5,2.5e-6
1989,F,Sarah,27792,0.01395258
1989,F,Nicole,19031,0.00955424
1989,F,Christina,13137,0.00659524
1989,F,Katherine,11415,0.00573074
1989,F,Kelly,8764,0.00439984
1989,F,Alicia,6817,0.00342238
1989,F,Kristin,6063,0.00304384
1989,F,Julie,3944,0.00198003
1989,F,Caroline,2663,0.00133692
1989,F,Robin,1801,9.0417e-4
1989,F,Audrey,1685,0.00084592999999999995
1989,F,Hailey,752,3.7753e-4
1989,F,Serena,448,2.2491e-4
1989,F,Michael,363,1.8224e-4
1989,F,Maya,342,1.717e-4
1989,F,Matthew,173,8.685e-5
1989,F,Isabella,141,7.079e-5
1989,F,Nicholas,121,6.075e-5
1989,F,Amira,98,4.92e-5
1989,F,Steven,80,4.016e-5
1989,F,Jason,43,2.159e-5
1989,F,Ian,29,1.456e-5
1989,F,Tony,21,1.054e-5
1989,F,Corbin,19,9.54e-6
1989,F,Omar,15,7.53e-6
1989,F,Ethan,13,6.53e-6
1989,F,Delina,11,5.52e-6
1989,F,Saul,8,4.02e-6
1989,F,Zeynep,6,3.01e-6
1989,M,Michael,65382,0.03120182
1989,M,Matthew,45371,0.0216521
1989,M,Nicholas,28225,0.01346963
1989,M,Steven,18921,0.00902954
1989,M,Jason,12605,0.0060154
1989,M,Ian,4947,0.00236082
1989,M,Ethan,4054,0.00193466
1989,M,Tony,2299,0.00109714
1989,M,Grant,1679,8.0126e-4
1989,M,Omar,1630,7.7787e-4
1989,M,Kelly,811,3.8703e-4
1989,M,Corbin,525,2.5054e-4
1989,M,Saul,522,2.4911e-4
1989,M,Robin,324,1.5462e-4
1989,M,Sarah,146,6.967e-5
1989,M,Christina,129,6.156e-5
1989,M,Nicole,107,5.106e-5
1989,M,Katherine,94,4.486e-5
1989,M,Kristin,44,2.1e-5
1989,M,Alicia,39,1.861e-5
1989,M,Ace,32,1.527e-5
1989,M,Caroline,30,1.432e-5
1989,M,Julie,22,1.05e-5
1989,M,Audrey,17,8.11e-6
1989,M,Maya,11,5.25e-6
1989,M,Niels,11,5.25e-6
1989,M,Hailey,9,4.3e-6
1989,M,Serena,6,2.86e-6
1989,M,Kobe,5,2.39e-6
1990,F,Sarah,25816,0.01256888
1990,F,Nicole,17951,0.00873969
1990,F,Christina,11926,0.00580634
1990,F,Katherine,11624,0.00565931
1990,F,Kelly,8135,0.00396064
1990,F,Alicia,6510,0.00316948
1990,F,Kristin,5303,0.00258184
1990,F,Julie,3654,0.001779
1990,F,Caroline,2820,0.00137296
1990,F,Audrey,1797,8.7489e-4
1990,F,Robin,1413,6.8794e-4
1990,F,Hailey,945,4.6009e-4
1990,F,Maya,651,3.1695e-4
1990,F,Serena,478,2.3272e-4
1990,F,Michael,278,1.3535e-4
1990,F,Isabella,215,1.0468e-4
1990,F,Matthew,125,6.086e-5
1990,F,Amira,92,4.479e-5
1990,F,Nicholas,70,3.408e-5
1990,F,Steven,69,3.359e-5
1990,F,Jason,42,2.045e-5
1990,F,Ian,30,1.461e-5
1990,F,Tony,25,1.217e-5
1990,F,Ethan,17,8.28e-6
1990,F,Corbin,16,7.79e-6
1990,F,Omar,13,6.33e-6
1990,F,Delina,10,4.87e-6
1990,F,Saul,7,3.41e-6
1990,F,Grant,5,2.43e-6
1990,F,Zeynep,5,2.43e-6
1990,M,Michael,65282,0.03034735
1990,M,Matthew,44800,0.02082597
1990,M,Nicholas,27900,0.01296975
1990,M,Steven,18753,0.00871762
1990,M,Jason,10684,0.00496662
1990,M,Ethan,6990,0.00324941
1990,M,Ian,5459,0.0025377
1990,M,Tony,2182,0.00101434
1990,M,Omar,1973,9.1718e-4
1990,M,Grant,1691,7.8609e-4
1990,M,Kelly,686,3.189e-4
1990,M,Saul,567,2.6358e-4
1990,M,Corbin,529,2.4591e-4
1990,M,Robin,281,1.3063e-4
1990,M,Christina,59,2.743e-5
1990,M,Sarah,57,2.65e-5
1990,M,Nicole,42,1.952e-5
1990,M,Katherine,32,1.488e-5
1990,M,Ace,29,1.348e-5
1990,M,Kristin,26,1.209e-5
1990,M,Alicia,23,1.069e-5
1990,M,Niels,17,7.9e-6
1990,M,Julie,15,6.97e-6
1990,M,Caroline,13,6.04e-6
1990,M,Audrey,6,2.79e-6
1991,F,Sarah,25223,0.01240608
1991,F,Nicole,16050,0.00789429
1991,F,Katherine,11489,0.00565093
1991,F,Christina,10565,0.00519646
1991,F,Kelly,7512,0.00369482
1991,F,Alicia,5557,0.00273324
1991,F,Kristin,4087,0.00201021
1991,F,Julie,3570,0.00175593
1991,F,Caroline,2843,0.00139835
1991,F,Audrey,1759,8.6517e-4
1991,F,Hailey,1506,7.4073e-4
1991,F,Robin,1233,6.0646e-4
1991,F,Maya,574,2.8233e-4
1991,F,Serena,498,2.4494e-4
1991,F,Isabella,305,1.5002e-4
1991,F,Michael,267,1.3133e-4
1991,F,Amira,117,5.755e-5
1991,F,Matthew,102,5.017e-5
1991,F,Nicholas,81,3.984e-5
1991,F,Steven,45,2.213e-5
1991,F,Jason,33,1.623e-5
1991,F,Ian,26,1.279e-5
1991,F,Tony,22,1.082e-5
1991,F,Delina,20,9.84e-6
1991,F,Corbin,19,9.35e-6
1991,F,Omar,16,7.87e-6
1991,F,Ethan,15,7.38e-6
1991,F,Anusha,10,4.92e-6
1991,F,Grant,6,2.95e-6
1991,F,Saul,5,2.46e-6
1991,F,Zeynep,5,2.46e-6
1991,M,Michael,60785,0.0286831
1991,M,Matthew,41636,0.01964711
1991,M,Nicholas,27357,0.01290917
1991,M,Steven,16857,0.00795445
1991,M,Jason,9380,0.00442622
1991,M,Ethan,6127,0.0028912
1991,M,Ian,5321,0.00251086
1991,M,Omar,2135,0.00100746
1991,M,Tony,2099,9.9047e-4
1991,M,Grant,1733,8.1776e-4
1991,M,Kelly,643,3.0342e-4
1991,M,Saul,592,2.7935e-4
1991,M,Corbin,552,2.6048e-4
1991,M,Robin,306,1.4439e-4
1991,M,Christina,55,2.595e-5
1991,M,Sarah,37,1.746e-5
1991,M,Ace,35,1.652e-5
1991,M,Nicole,32,1.51e-5
1991,M,Kristin,25,1.18e-5
1991,M,Katherine,20,9.44e-6
1991,M,Alicia,16,7.55e-6
1991,M,Niels,11,5.19e-6
1991,M,Audrey,8,3.78e-6
1991,M,Julie,7,3.3e-6
1991,M,Hailey,5,2.36e-6
1992,F,Sarah,24635,0.01229109
1992,F,Nicole,16323,0.008144
1992,F,Katherine,11148,0.00556205
1992,F,Christina,9441,0.00471038
1992,F,Kelly,7011,0.00349798
1992,F,Alicia,4908,0.00244874
1992,F,Kristin,3596,0.00179415
1992,F,Caroline,3176,0.0015846
1992,F,Julie,3169,0.0015811
1992,F,Hailey,1913,9.5445e-4
1992,F,Audrey,1741,8.6863e-4
1992,F,Robin,1055,5.2637e-4
1992,F,Maya,695,3.4675e-4
1992,F,Isabella,508,2.5346e-4
1992,F,Serena,500,2.4946e-4
1992,F,Michael,258,1.2872e-4
1992,F,Amira,113,5.638e-5
1992,F,Matthew,93,4.64e-5
1992,F,Nicholas,80,3.991e-5
1992,F,Steven,52,2.594e-5
1992,F,Jason,22,1.098e-5
1992,F,Omar,20,9.98e-6
1992,F,Corbin,18,8.98e-6
1992,F,Delina,18,8.98e-6
1992,F,Tony,18,8.98e-6
1992,F,Ethan,13,6.49e-6
1992,F,Anusha,11,5.49e-6
1992,F,Ian,10,4.99e-6
1992,F,Grant,8,3.99e-6
1992,F,Zeynep,8,3.99e-6
1992,F,Saul,5,2.49e-6
1992,M,Michael,54386,0.02591513
1992,M,Matthew,37736,0.01798134
1992,M,Nicholas,27755,0.01322536
1992,M,Steven,15038,0.00716566
1992,M,Jason,9240,0.00440289
1992,M,Ian,5533,0.00263649
1992,M,Ethan,4905,0.00233725
1992,M,Omar,2305,0.00109834
1992,M,Tony,1926,9.1775e-4
1992,M,Grant,1911,9.106e-4
1992,M,Saul,616,2.9353e-4
1992,M,Corbin,583,2.778e-4
1992,M,Kelly,534,2.5445e-4
1992,M,Robin,300,1.4295e-4
1992,M,Sarah,53,2.525e-5
1992,M,Christina,50,2.383e-5
1992,M,Ace,42,2.001e-5
1992,M,Nicole,37,1.763e-5
1992,M,Katherine,20,9.53e-6
1992,M,Kristin,18,8.58e-6
1992,M,Alicia,13,6.19e-6
1992,M,Julie,13,6.19e-6
1992,M,Niels,13,6.19e-6
1992,M,Audrey,9,4.29e-6
1992,M,Caroline,7,3.34e-6
1992,M,Hailey,5,2.38e-6
1993,F,Sarah,24251,0.01230281
1993,F,Nicole,16179,0.00820779
1993,F,Katherine,10506,0.00532982
1993,F,Christina,8286,0.00420358
1993,F,Kelly,6299,0.00319556
1993,F,Alicia,4431,0.0022479
1993,F,Caroline,3081,0.00156303
1993,F,Kristin,2991,0.00151737
1993,F,Julie,2736,0.001388
1993,F,Hailey,2529,0.00128299
1993,F,Audrey,1947,9.8774e-4
1993,F,Maya,1013,5.1391e-4
1993,F,Robin,998,5.063e-4
1993,F,Isabella,828,4.2005e-4
1993,F,Serena,546,2.7699e-4
1993,F,Michael,223,1.1313e-4
1993,F,Amira,147,7.457e-5
1993,F,Nicholas,91,4.617e-5
1993,F,Matthew,70,3.551e-5
1993,F,Steven,45,2.283e-5
1993,F,Tony,24,1.218e-5
1993,F,Ian,19,9.64e-6
1993,F,Jason,19,9.64e-6
1993,F,Delina,17,8.62e-6
1993,F,Corbin,13,6.6e-6
1993,F,Omar,13,6.6e-6
1993,F,Anusha,11,5.58e-6
1993,F,Ethan,8,4.06e-6
1993,M,Michael,49550,0.02399562
1993,M,Matthew,35769,0.01732189
1993,M,Nicholas,28105,0.01361043
1993,M,Steven,13465,0.00652071
1993,M,Jason,8633,0.00418071
1993,M,Ian,5398,0.00261409
1993,M,Ethan,4160,0.00201457
1993,M,Omar,2450,0.00118646
1993,M,Grant,2158,0.00104506
1993,M,Tony,1872,9.0656e-4
1993,M,Saul,580,2.8088e-4
