UserID,DBH,Common_Name,Tree_Height,Crown_Width_NS,Crown_Width_EW,Crown_Base_Height,Collected_By,Edible
9114,17,Northern Red Oak,39,39,53,3,volunteer,NA
9115,55.6,Silver Linden,123,84,78,8,Volunteer,NA
9116,44,Douglas-Fir,144,52,37,46,Volunteer,NA
9117,37.1,Silver Linden,92,85,80,8,Volunteer,NA
9118,21.2,Sugar Maple,92,36,46,26,Volunteer,NA
9119,34.2,Douglas-Fir,154,50,37,60,Volunteer,NA
9120,24.8,Douglas-Fir,146,37,33,56,Volunteer,NA
9121,1.2,Japanese Hornbeam,10,9,9,3,Volunteer,NA
9122,47.5,Silver Linden,113,80,89,9,volunteer,NA
9123,43.1,Douglas-Fir,140,70,46,55,Volunteer,NA
9124,39.5,Douglas-Fir,124,41,34,47,Volunteer,NA
9125,24.3,Incense Cedar,80,18,18,10,Volunteer,NA
9099,49.6,Tuliptree,107,84,73,6,Volunteer,NA
9100,38.5,Silver Linden,126,60,54,12,Volunteer,NA
9101,49.2,Silver Linden,110,59,99,11,Volunteer,NA
9102,34.7,Silver Linden,106,48,56,15,Volunteer,NA
9103,39.7,Spanish Chestnut,74,80,80,6,Volunteer,Yes - nuts
9104,25.9,Douglas-Fir,120,40,41,40,Volunteer,NA
9105,6.3,Cherry,14,19,17,8,Volunteer,Yes - fruit
9106,39.4,Western Redcedar,94,25,35,0,Volunteer,NA
9107,33.6,Douglas-Fir,100,55,33,6,Volunteer,NA
9108,14.1,Red-Silver Maple Hybrid,56,34,31,16,Volunteer,NA
9109,29.4,Douglas-Fir,136,43,44,40,volunteer,NA
9110,11.8,"Paperbark Cherry, Birchbark Cherry, Tibetan Cherry",27,26,30,5,Volunteer,NA
9111,76,Giant Sequoia,125,44,57,0,Volunteer,NA
9112,16.5,European White Birch,75,36,35,8,Volunteer,NA
9113,21.5,Douglas-Fir,138,25,27,75,Volunteer,NA
8990,38.6,Common Horsechestnut,65,51,43,5,volunteer,No
8991,18,European White Birch,72,38,32,14,Volunteer,NA
8992,31.6,Douglas-Fir,125,37,43,47,volunteer,NA
8993,11,Sycamore Maple,61,26,26,37,volunteer,NA
8994,35.5,Douglas-Fir,148,58,45,53,volunteer,NA
8995,43,Silver Linden,104,54,76,8,Volunteer,NA
8996,2.9,Tuliptree,20,10,11,7,volunteer,NA
8997,29.8,Sycamore Maple,62,44,36,8,Volunteer,NA
8998,43.5,Silver Linden,93,81,85,11,volunteer,NA
8999,24.5,Northern Red Oak,76,66,60,7,volunteer,NA
9000,18.4,Western Redcedar,31,27,33,0,Volunteer,NA
9127,39.4,Silver Linden,114,57,58,12,Volunteer,NA
9128,41,Silver Linden,110,86,93,15,volunteer,NA
9129,34,Oregon White Oak,86,56,49,9,Volunteer,Yes - nuts
9130,41.2,Douglas-Fir,138,48,32,18,Volunteer,NA
9131,23.5,Douglas-Fir,115,34,44,60,Volunteer,NA
9132,20.5,Red-Silver Maple Hybrid,55,38,42,6,Volunteer,NA
9133,40.6,Silver Linden,113,57,70,12,Volunteer,NA
9134,24.7,European Hornbeam,76,71,40,8,Volunteer,NA
9135,31.4,Douglas-Fir,130,48,52,50,Volunteer,NA
9136,35.4,Douglas-Fir,113,41,38,6,Volunteer,NA
9137,34.1,Douglas-Fir,130,40,57,8,Volunteer,NA
9138,21.6,Red-Silver Maple Hybrid,71,53,46,9,Volunteer,NA
9139,41,Douglas-Fir,122,39,41,22,Volunteer,NA
9140,44,Douglas-Fir,125,55,72,5,Volunteer,NA
9141,34.1,Silver Linden,110,72,50,20,Volunteer,NA
9142,39.6,Douglas-Fir,140,55,49,40,volunteer,NA
9143,34.1,Douglas-Fir,138,38,46,70,volunteer,NA
9144,32.5,Douglas-Fir,150,43,44,54,Volunteer,NA
9145,26.1,Douglas-Fir,139,37,27,68,Volunteer,NA
9146,43.2,Douglas-Fir,142,45,55,10,Volunteer,NA
9147,21,Sycamore Maple,70,56,49,6,Volunteer,NA
9148,33.3,Common Horsechestnut,72,62,52,6,Volunteer,No
9126,44.6,Incense Cedar,77,30,32,5,Volunteer,NA
9028,34.5,Douglas-Fir,124,44,38,48,Volunteer,NA
9029,14.2,Cherry,29,36,28,7,volunteer,Yes - fruit
9030,33.9,Douglas-Fir,126,47,46,24,Volunteer,NA
9031,2.8,Tuliptree,24,10,9,7,Volunteer,NA
9032,16.9,Sycamore Maple,68,41,31,6,Volunteer,NA
9033,41.6,Silver Linden,102,65,80,10,Volunteer,NA
9034,42.5,Douglas-Fir,120,74,58,18,Volunteer,NA
9035,53.3,Silver Linden,102,84,88,2,Volunteer,NA
9036,31.3,Incense Cedar,85,26,25,5,volunteer,NA
9037,47.1,Silver Linden,107,47,99,6,Volunteer,NA
9038,33,Douglas-Fir,125,23,43,14,volunteer,NA
9039,36,Silver Linden,100,46,51,9,Volunteer,NA
9040,40.6,Silver Linden,110,65,89,20,Volunteer,NA
9041,35.5,Douglas-Fir,110,37,29,14,Volunteer,NA
9042,42.7,Silver Linden,112,69,76,10,Volunteer,NA
9043,38.8,Douglas-Fir,138,50,58,53,Volunteer,NA
9044,33.6,Douglas-Fir,155,49,41,45,Volunteer,NA
9045,37,Silver Linden,114,66,75,17,volunteer,NA
9046,27,European Hornbeam,76,72,52,6,volunteer,NA
9047,24.7,Sugar Maple,84,37,49,5,Volunteer,NA
9048,37,Douglas-Fir,151,60,42,50,Volunteer,NA
9049,21.5,Douglas-Fir,126,48,53,46,Volunteer,NA
9050,26.8,Douglas-Fir,146,51,48,50,Volunteer,NA
9051,52.8,Silver Linden,112,89,98,12,Volunteer,NA
9052,34,Douglas-Fir,130,59,46,36,volunteer,NA
9053,30.5,Douglas-Fir,114,34,37,20,Volunteer,NA
9054,42,Douglas-Fir,142,63,64,8,volunteer,NA
9055,2.3,Japanese Hornbeam,10,9,7,3,Volunteer,NA
9056,38.8,Douglas-Fir,138,50,43,22,volunteer,NA
9057,84,Giant Sequoia,135,40,43,4,volunteer,NA
9058,26.7,Douglas-Fir,106,41,35,46,Volunteer,NA
9059,1,Giant Dogwood,7,6,6,1,Volunteer,NA
9060,35.8,Douglas-Fir,126,47,42,24,volunteer,NA
9061,27.4,European Hornbeam,72,94,67,5,Volunteer,NA
9062,7,Common Horsechestnut,23,26,25,2,volunteer,No
9063,20,Douglas-Fir,137,24,18,53,volunteer,NA
9087,23.3,Douglas-Fir,130,50,30,60,Volunteer,NA
9088,26.3,Douglas-Fir,138,32,24,53,volunteer,NA
9089,39.4,Douglas-Fir,147,42,49,48,Volunteer,NA
9090,3.3,Japanese Zelkova,18,11,14,7,Volunteer,NA
9091,38.3,Douglas-Fir,135,57,46,48,Volunteer,NA
9092,38,Silver Linden,110,68,61,5,Volunteer,NA
9093,36.4,Douglas-Fir,138,50,37,53,Volunteer,NA
9094,18.5,Sycamore Maple,64,42,54,6,Volunteer,NA
9095,45.6,Silver Linden,112,77,96,7,Volunteer,NA
9096,38.7,Douglas-Fir,110,68,55,19,Volunteer,NA
9097,24.6,Red-Silver Maple Hybrid,75,50,39,18,Volunteer,NA
9098,38.5,Douglas-Fir,129,50,49,18,volunteer,NA
9076,23.4,Sugar Maple,83,34,49,22,Volunteer,NA
9077,33.7,Red-Silver Maple Hybrid,80,59,44,7,Volunteer,NA
9078,37.8,Silver Linden,110,63,63,19,volunteer,NA
9079,26.5,Douglas-Fir,105,31,24,18,Volunteer,NA
9080,38,Douglas-Fir,112,60,57,30,Volunteer,NA
9081,43.5,Douglas-Fir,151,40,43,35,Volunteer,NA
9082,19.4,Sycamore Maple,51,26,25,8,volunteer,NA
9083,19.7,Sycamore Maple,73,46,40,6,volunteer,NA
9084,28.1,Sugar Maple,77,39,38,12,Volunteer,NA
9085,33.3,Bigleaf Maple,101,36,56,21,Volunteer,NA
9086,22.1,Scots Pine,83,37,33,2,volunteer,NA
9162,20.6,Sycamore Maple,71,34,44,9,volunteer,NA
9163,30.5,"Paulownia, Empress Tree, Foxglove Tree",62,37,32,18,volunteer,NA
9164,43,Common Horsechestnut,85,50,57,6,Volunteer,No
9165,33.7,Sugar Maple,74,50,51,14,volunteer,NA
9166,40.5,Common Horsechestnut,85,50,56,6,Volunteer,No
9167,35.7,Douglas-Fir,136,34,57,61,Volunteer,NA
9168,24,Douglas-Fir,120,47,36,50,volunteer,NA
9169,37.6,Silver Linden,104,53,58,18,volunteer,NA
9170,25.9,Common Horsechestnut,71,40,42,3,Volunteer,No
9171,40,Silver Linden,112,69,72,18,Volunteer,NA
9172,35.8,Douglas-Fir,138,47,37,53,Volunteer,NA
9173,29.2,Willow Oak,86,84,70,8,Volunteer,NA
9174,38.5,Douglas-Fir,125,58,42,50,Volunteer,NA
9175,1,Giant Dogwood,6,7,6,1,volunteer,NA
9176,36,Douglas-Fir,139,50,36,70,volunteer,NA
9177,16.3,Douglas-Fir,105,30,24,68,Volunteer,NA
9149,41,Silver Linden,112,65,55,13,volunteer,NA
9150,37.7,Silver Linden,98,43,72,10,volunteer,NA
9151,17.4,Douglas-Fir,86,40,36,42,volunteer,NA
9205,16.4,Red-Silver Maple Hybrid,76,40,35,10,Staff,NA
9206,22.9,Sycamore Maple,61,46,35,8,STAFF,NA
9207,8.3,Flowering Pear,43,33,32,5,Staff,NA
9208,4.2,Littleleaf Linden,25,15,18,0,STAFF,NA
9209,1.7,Sourwood,16,8,6,5,Staff,NA
9210,18,Red-Silver Maple Hybrid,53,59,46,11,STAFF,NA
9211,21.5,Sugar Maple,87,42,37,20,Staff,NA
9212,16.7,Sycamore Maple,48,36,38,6,STAFF,NA
9213,31.1,Bigleaf Maple,85,80,71,6,STAFF,NA
9214,83.3,Giant Sequoia,124,43,54,6,Volunteer,NA
9215,54.3,Douglas-Fir,140,70,66,6,Volunteer,NA
9216,82.3,Giant Sequoia,145,52,55,0,Volunteer,NA
9217,4.3,Littleleaf Linden,22,16,20,0,Staff,NA
9218,33,Silver Linden,109,83,52,6,STAFF,NA
9219,18.1,Red-Silver Maple Hybrid,72,50,33,8,Staff,NA
9220,33,Scarlet Oak,90,70,67,6,Volunteer,NA
9221,37,Northern Red Oak,100,53,50,8,Volunteer,NA
9222,20.8,Colorado Blue Spruce,61,32,31,12,Volunteer,NA
9223,20.8,Douglas-Fir,96,28,44,6,Volunteer,NA
9224,15.7,Red Maple,76,55,50,6,Volunteer,NA
9225,38.5,Douglas-Fir,156,54,40,9,Volunteer,NA
9226,21.6,Sugar Maple,91,44,36,18,STAFF,NA
9227,28.9,Sugar Maple,79,46,42,11,Staff,NA
9228,37,Spanish Chestnut,80,91,88,4,STAFF,Yes - nuts
9229,14.4,Sycamore Maple,56,29,21,10,STAFF,NA
9230,42.2,Douglas-Fir,120,48,51,17,volunteer,NA
9231,28.7,Douglas-Fir,80,45,52,10,volunteer,NA
9232,38.9,Northern Red Oak,103,56,93,6,Volunteer,NA
9233,18.2,Sugar Maple,90,39,36,11,STAFF,NA
9234,23.7,Sycamore Maple,64,37,45,22,STAFF,NA
9235,37.8,Bigleaf Maple,72,20,30,63,STAFF,NA
9236,9.2,Ornamental Crabapple,27,24,23,5,Volunteer,NA
9237,37.3,Northern Red Oak,89,82,70,2,Volunteer,NA
9238,52.8,Douglas-Fir,158,60,55,25,Volunteer,NA
9239,42.7,Douglas-Fir,130,59,48,23,Volunteer,NA
9240,39.7,Douglas-Fir,130,58,55,40,Volunteer,NA
9241,51.3,Northern Red Oak,138,74,86,22,Volunteer,NA
9242,25.8,Northern Red Oak,80,71,54,9,volunteer,NA
9243,32,Scarlet Oak,56,54,52,7,Volunteer,NA
9244,42.6,Northern Red Oak,92,66,50,5,Volunteer,NA
9245,35.8,Bigleaf Maple,105,66,84,10,volunteer,NA
9246,31.7,Northern Red Oak,86,67,68,7,Volunteer,NA
9247,41.8,Douglas-Fir,145,36,35,9,volunteer,NA
9248,46.1,Scarlet Oak,78,78,79,28,Volunteer,NA
9249,37.5,Northern Red Oak,90,69,57,8,Volunteer,NA
9250,26.3,Flowering Plum,49,46,41,5,Volunteer,NA
9251,19.6,Northern Red Oak,78,54,62,6,Volunteer,NA
9252,37.3,Northern Red Oak,108,71,83,10,Volunteer,NA
9253,42.2,Douglas-Fir,120,46,53,25,volunteer,NA
9254,65.7,Giant Sequoia,144,45,42,17,Volunteer,NA
9255,43.5,Dawn Redwood,92,65,55,4,Volunteer,NA
9256,26.2,Douglas-Fir,109,21,34,40,volunteer,NA
9583,44.4,Douglas-Fir,142,59,45,26,volunteer,NA
9584,27,Douglas-Fir,94,37,43,16,Volunteer,NA
9585,36,Douglas-Fir,109,35,31,18,Volunteer,NA
9586,31,Douglas-Fir,118,31,35,13,volunteer,NA
9587,37.8,Douglas-Fir,120,32,34,72,volunteer,NA
9588,55.7,Coast Redwood,135,50,55,10,Staff,NA
9589,42.7,Scarlet Oak,106,78,75,8,volunteer,NA
9590,37.3,Douglas-Fir,135,23,32,65,Volunteer,NA
9591,63,Coast Redwood,142,77,64,6,Staff,NA
9592,20,Japanese Flowering Cherry,40,36,43,8,STAFF,NA
9593,9.3,American Yellowwood,29,27,32,6,Volunteer,NA
9594,31.3,Northern Red Oak,81,55,54,5,Volunteer,NA
9331,38.5,Northern Red Oak,99,55,82,6,Volunteer,NA
9303,40.2,Eastern White Oak,100,98,77,15,Volunteer,NA
9304,30.7,Northern Red Oak,86,38,37,7,Volunteer,NA
9305,24.9,Douglas-Fir,90,39,30,39,Volunteer,NA
9257,39.8,Dawn Redwood,96,43,47,6,Volunteer,NA
9258,4,Japanese Maple,13,16,19,3,volunteer,NA
9259,29.4,English Oak,79,94,87,8,volunteer,NA
9260,42.6,Scarlet Oak,76,104,102,6,Volunteer,NA
9261,31.4,Douglas-Fir,122,30,42,40,Volunteer,NA
9262,36,Douglas-Fir,125,49,51,25,volunteer,NA
9263,37.3,Douglas-Fir,138,43,36,63,Volunteer,NA
9264,38.9,Douglas-Fir,153,59,47,24,Volunteer,NA
9265,11.9,Red Maple,55,42,41,7,volunteer,NA
9266,34,Douglas-Fir,130,28,25,40,Volunteer,NA
9267,38,Douglas-Fir,142,48,31,36,Volunteer,NA
9268,13.4,"Hiba Arborvitae, Thujopsis",19,15,13,1,Volunteer,NA
9269,41.8,Douglas-Fir,150,36,43,26,volunteer,NA
9270,40.5,Douglas-Fir,144,51,56,14,Volunteer,NA
9271,45,Coast Redwood,126,63,45,6,Staff,NA
9272,32.5,Douglas-Fir,110,54,44,16,Volunteer,NA
9273,57,Douglas-Fir,133,58,58,11,Staff,NA
9274,33,Scarlet Oak,91,51,70,6,Volunteer,NA
9306,44.4,Douglas-Fir,118,54,53,10,Volunteer,NA
9307,38.1,Scarlet Oak,98,69,71,6,Volunteer,NA
9308,29.7,European Hornbeam,75,74,55,0,volunteer,NA
9275,16.9,Northern Red Oak,59,42,55,8,volunteer,NA
9276,13.2,Red Maple,65,27,36,7,volunteer,NA
9277,11.5,Red Maple,50,41,41,8,Volunteer,NA
9278,33.9,Douglas-Fir,153,68,34,58,Volunteer,NA
9279,8.3,Ornamental Crabapple,32,32,30,6,volunteer,NA
9280,43.2,Douglas-Fir,145,36,29,28,Volunteer,NA
9281,37.4,Douglas-Fir,120,57,41,54,Volunteer,NA
9282,17.7,Western Hemlock,58,33,40,6,Volunteer,NA
9283,32,Douglas-Fir,127,30,31,37,Volunteer,NA
9284,30.3,Scarlet Oak,86,55,53,8,Volunteer,NA
9285,58.4,Coast Redwood,146,60,45,4,Staff,NA
9286,31.2,Douglas-Fir,142,45,51,24,volunteer,NA
9287,38.1,Douglas-Fir,104,40,37,6,volunteer,NA
9288,15,Unknown (Dead),28,99999,99999,NA,Staff,NA
9289,43,Douglas-Fir,126,45,45,6,Staff,NA
9290,29.2,Douglas-Fir,118,39,45,50,Volunteer,NA
9291,31.6,Scarlet Oak,74,50,46,10,Volunteer,NA
9292,36.2,Bigleaf Maple,119,90,59,12,Volunteer,NA
9293,13.9,Douglas-Fir,78,26,26,4,volunteer,NA
9294,25.4,Douglas-Fir,101,19,26,19,Volunteer,NA
9295,48,Douglas-Fir,148,51,43,22,Volunteer,NA
9296,38.1,Dawn Redwood,100,46,38,5,volunteer,NA
9297,47,Douglas-Fir,158,39,48,13,Volunteer,NA
9298,45.8,Dawn Redwood,96,58,56,5,Volunteer,NA
9299,40.2,Dawn Redwood,83,56,51,5,Volunteer,NA
9300,16.6,European Larch,78,42,34,6,volunteer,NA
9301,53.4,Douglas-Fir,105,38,37,7,Volunteer,NA
9302,36,Douglas-Fir,138,31,29,23,Volunteer,NA
9595,21.5,Douglas-Fir,98,15,32,9,Volunteer,NA
9596,37.5,Northern Red Oak,95,74,71,7,Volunteer,NA
9597,31.5,Douglas-Fir,129,50,52,13,volunteer,NA
9598,38.9,Douglas-Fir,142,57,49,30,volunteer,NA
9599,11.5,Japanese Flowering Cherry,32,40,48,5,Volunteer,NA
9600,34.8,Douglas-Fir,118,48,53,13,Volunteer,NA
9601,7.5,Magnolia,29,26,23,7,Staff,NA
9602,23.9,Japanese Flowering Cherry,30,33,29,14,Volunteer,NA
9603,44.4,Douglas-Fir,121,54,53,24,volunteer,NA
9604,7.8,Magnolia,27,24,21,3,Staff,NA
9605,22,Douglas-Fir,98,41,39,25,Volunteer,NA
9309,30.5,Douglas-Fir,111,44,44,20,Volunteer,NA
9560,41.3,Douglas-Fir,130,46,52,24,Staff,NA
9561,6.2,Cornelian Cherry,20,25,26,4,STAFF,Yes - fruit
9565,7.7,Japanese Cedar,29,13,15,4,Staff,NA
9613,7.5,Japanese Cedar,29,13,12,4,Staff,NA
9886,47,Douglas-Fir,152,55,54,38,Staff,NA
9887,8.6,Colorado Blue Spruce,35,18,14,5,Staff,NA
9888,19.3,Sycamore Maple,48,51,48,3,Staff,NA
9889,17.3,European Mountain Ash,48,37,42,4,Staff,NA
9890,12.8,Flowering Plum,38,34,34,5,Staff,NA
9891,39.6,Swamp White Oak,101,75,95,5,Staff,NA
9892,39.4,Deodar Cedar,110,63,59,0,STAFF,NA
9893,30.8,Douglas-Fir,104,42,37,8,Staff,NA
9894,46.2,Douglas-Fir,131,56,56,16,Staff,NA
9895,17.2,Flowering Plum,35,29,29,8,Staff,NA
9896,45.2,Douglas-Fir,134,45,43,8,STAFF,NA
9897,19.9,Austrian Black Pine,86,20,25,31,Staff,NA
9898,17.5,Austrian Black Pine,86,32,21,37,Staff,NA
9899,24.4,Austrian Black Pine,86,25,31,14,Staff,NA
9900,3,Vine Maple,14,17,17,1,Staff,NA
9901,35.5,Coast Redwood,106,61,56,4,Staff,NA
9902,10.2,Flowering Plum,32,29,28,6,STAFF,NA
9914,24.3,Flowering Plum,48,34,40,7,Staff,NA
9915,61.4,London Plane Tree,94,75,81,4,STAFF,NA
9916,9.8,Flowering Plum,25,26,18,3,Staff,NA
9917,5.9,Ornamental Crabapple,22,19,17,13,Staff,NA
9918,1.2,Flowering Plum,16,5,5,4,Staff,NA
9919,7.5,Flowering Plum,26,21,25,9,Staff,NA
9920,4.5,Vine Maple,25,24,27,3,Staff,NA
9921,16.4,Flowering Plum,52,33,43,7,STAFF,NA
9922,47.5,Black Oak,96,69,100,3,Staff,NA
9923,41.5,Black Oak,85,95,90,6,Staff,NA
9924,12.9,Deodar Cedar,70,26,18,5,Staff,NA
9945,2.5,"English Laurel, Cherry Laurel",13,10,10,5,Staff,NA
9946,29,Colorado Blue Spruce,52,26,23,4,STAFF,NA
9947,33.1,Sycamore Maple,95,63,62,4,Staff,NA
9948,31.4,Douglas-Fir,107,34,36,4,STAFF,NA
9949,6.5,Flowering Plum,22,16,11,5,Staff,NA
9950,4.1,Flowering Plum,27,16,11,5,Staff,NA
9951,8.5,Western Hemlock,37,22,22,5,Staff,NA
9952,3.6,Flowering Plum,21,11,15,6,Staff,NA
9953,1.2,Japanese Stewartia,13,4,5,3,STAFF,NA
9954,15.7,Austrian Black Pine,83,12,11,42,STAFF,NA
9955,28.3,Blue Atlas Cedar,86,55,62,7,STAFF,NA
9956,23.6,Austrian Black Pine,85,30,26,40,STAFF,NA
9957,23.3,Douglas-Fir,117,35,25,23,STAFF,NA
9958,2.8,Eastern Dogwood,16,16,16,4,Staff,NA
9959,14,Douglas-Fir,41,29,25,7,STAFF,NA
9960,1.2,Japanese Stewartia,12,4,4,4,STAFF,NA
9961,0.1,Saucer Magnolia,5,4,5,1,Staff,NA
9962,16.3,Japanese Maple,28,42,32,5,Staff,NA
