crash_numb,city_town_name,crash_date,crash_severity_descr,crash_status,crash_time_2,year,max_injr_svrty_cl,numb_vehc,polc_agncy_type_descr,sptroop,age_drvr_oldest,crash_hour,first_hrmf_event_descr,ambnt_light_descr,manr_coll_descr,road_surf_cond_descr,numb_fatal_injr,weath_cond_descr,hit_run_descr,most_hrmfl_evt_cl,speed_limit,lat,lon
4171080,CAMBRIDGE,03/31/2016,Property damage only (none injured),Closed,22:36:00,2016,No injury,1,Local police,NA,35-44,10:00PM to 10:59PM,Collision with pedestrian,Dark - lighted roadway,Single vehicle crash,Dry,0,Clear,NA,V1:(Collision with pedestrian),NA,42.37347159,-71.1005303
4171079,CAMBRIDGE,03/31/2016,Property damage only (none injured),Closed,21:20:00,2016,No injury,1,Local police,NA,45-54,09:00PM to 09:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Dark - lighted roadway,Angle,Dry,0,Clear/Clear,NA,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.36795628,-71.09380282
4168169,CAMBRIDGE,03/24/2016,Non-fatal injury,Closed,13:45:00,2016,Non-fatal injury - Possible,1,Local police,NA,25-34,01:00PM to 01:59PM,Collision with pedestrian,Daylight,Angle,Dry,0,Cloudy,NA,V1:(Collision with pedestrian),NA,NA,NA
4166829,CAMBRIDGE,03/19/2016,Non-fatal injury,Closed,21:11:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,45-54,09:00PM to 09:59PM,Collision with pedestrian,Dark - lighted roadway,Single vehicle crash,Dry,0,Clear,NA,V1:(Collision with pedestrian),30,42.39541151,-71.12808203
4166828,CAMBRIDGE,03/19/2016,Non-fatal injury,Closed,17:11:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,35-44,05:00PM to 05:59PM,Collision with pedestrian,Daylight,Head-on,Dry,0,Clear/Clear,NA,V1:(Collision with pedestrian),NA,NA,NA
4164768,CAMBRIDGE,03/16/2016,Non-fatal injury,Closed,21:22:00,2016,Non-fatal injury - Possible,2,Local police,NA,35-44,09:00PM to 09:59PM,Collision with pedestrian,Dusk,"Sideswipe, same direction",Dry,0,Clear,NA,V1:(Collision with pedestrian) / V2:(Collision with motor vehicle in traffic),NA,42.38590086,-71.12347687
4164320,CAMBRIDGE,03/15/2016,Non-fatal injury,Closed,11:17:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,35-44,11:00AM to 11:59AM,Collision with pedestrian,Daylight,Single vehicle crash,Wet,0,Rain,NA,V1:(Collision with pedestrian),NA,42.36710672,-71.09542295
4163839,CAMBRIDGE,03/14/2016,Non-fatal injury,Closed,13:05:00,2016,Non-fatal injury - Possible,1,Local police,NA,65-74,01:00PM to 01:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Unknown,Dry,0,Cloudy,NA,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.36876999,-71.094781
4159765,CAMBRIDGE,01/29/2016,Non-fatal injury,Closed,12:10:00,2016,Non-fatal injury - Possible,2,Local police,NA,35-44,12:00PM to 12:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Unknown,Dry,0,Cloudy,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car)) / V2:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.37348376,-71.09885467
4159490,CAMBRIDGE,03/07/2016,Property damage only (none injured),Closed,19:45:00,2016,No injury,1,Local police,NA,NA,07:00PM to 07:59PM,Collision with pedestrian,Dark - unknown roadway lighting,"Sideswipe, same direction",Dry,0,Clear,"Yes, hit and run",V1:(Collision with pedestrian),NA,42.36750728,-71.10973405
4159489,CAMBRIDGE,03/07/2016,Non-fatal injury,Closed,20:27:00,2016,Non-fatal injury - Possible,1,Local police,NA,45-54,08:00PM to 08:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Dark - lighted roadway,Head-on,Dry,0,Clear,NA,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.3721878,-71.09898431
4159487,CAMBRIDGE,03/07/2016,Non-fatal injury,Closed,10:00:00,2016,Non-fatal injury - Possible,1,Local police,NA,25-34,10:00AM to 10:59AM,Collision with pedestrian,Daylight,Angle,Dry,0,Cloudy,NA,V1:(Collision with pedestrian),NA,42.37435283,-71.11879817
4159026,CAMBRIDGE,03/05/2016,Unknown,Closed,16:05:00,2016,Not reported,1,Local police,NA,45-54,04:00PM to 04:59PM,Not reported,Daylight,Rear-end,Not reported,0,Clear,NA,V1:(Collision with pedestrian),NA,42.37054363,-71.08720573
4157061,CAMBRIDGE,02/29/2016,Non-fatal injury,Closed,22:26:00,2016,Non-fatal injury - Incapacitating,1,Local police,NA,NA,10:00PM to 10:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Dark - lighted roadway,"Sideswipe, same direction",Dry,0,Clear,"Yes, hit and run","V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.35966356,-71.0986267
4156283,CAMBRIDGE,02/28/2016,Property damage only (none injured),Closed,16:33:00,2016,No injury,1,Local police,NA,NA,04:00PM to 04:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Head-on,Dry,0,Clear,"Yes, hit and run","V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.37396557,-71.12148383
4155706,CAMBRIDGE,02/25/2016,Non-fatal injury,Closed,10:49:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,35-44,10:00AM to 10:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.37397261,-71.11277816
4181129,CAMBRIDGE,01/31/2016,Property damage only (none injured),Closed,13:09:00,2016,No injury,1,Local police,NA,25-34,01:00PM to 01:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,"Sideswipe, same direction",Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.36016348,-71.09484827
4181109,CAMBRIDGE,01/31/2016,Non-fatal injury,Closed,22:23:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,NA,10:00PM to 10:59PM,Collision with pedestrian,Dark - lighted roadway,Head-on,Dry,0,Clear/Clear,"Yes, hit and run",V1:(Collision with pedestrian),NA,42.36829918,-71.10175275
4181107,CAMBRIDGE,02/01/2016,Non-fatal injury,Closed,10:00:00,2016,Non-fatal injury - Possible,1,Local police,NA,25-34,10:00AM to 10:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear,NA,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.3719476,-71.08707515
4181100,CAMBRIDGE,02/02/2016,Property damage only (none injured),Closed,08:30:00,2016,No injury,1,Local police,NA,25-34,08:00AM to 08:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Head-on,Dry,0,Clear,NA,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.36725916,-71.07772117
4181099,CAMBRIDGE,02/04/2016,Non-fatal injury,Closed,17:15:00,2016,Non-fatal injury - Possible,1,Local police,NA,21-24,05:00PM to 05:59PM,Collision with pedestrian,Dark - lighted roadway,Head-on,Dry,0,Cloudy,NA,V1:(Collision with pedestrian),NA,42.39471136,-71.14511664
4180571,CAMBRIDGE,01/19/2016,Unknown,Closed,09:54:00,2016,Not reported,1,Local police,NA,65-74,09:00AM to 09:59AM,Collision with pedestrian,Daylight,Rear-end,Dry,0,Clear,NA,V1:(Collision with pedestrian),NA,42.37492501,-71.13420282
4179582,CAMBRIDGE,02/10/2016,Non-fatal injury,Closed,11:45:00,2016,Non-fatal injury - Possible,1,Local police,NA,35-44,11:00AM to 11:59AM,Collision with motor vehicle in traffic,Daylight,"Sideswipe, same direction",Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",30,42.36659322,-71.10569696
4177657,CAMBRIDGE,04/14/2016,Non-fatal injury,Closed,07:19:00,2016,Non-fatal injury - Possible,1,Local police,NA,25-34,07:00AM to 07:59AM,Collision with pedestrian,Daylight,Single vehicle crash,Dry,0,Clear,NA,V1:(Collision with pedestrian),NA,42.36541239,-71.07985802
4176742,CAMBRIDGE,04/13/2016,Non-fatal injury,Closed,07:40:00,2016,Non-fatal injury - Possible,1,Local police,NA,35-44,07:00AM to 07:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Head-on,Dry,0,Clear/Cloudy,NA,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.36612565,-71.09294048
4176740,CAMBRIDGE,04/12/2016,Non-fatal injury,Closed,21:39:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,25-34,09:00PM to 09:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,"Sideswipe, same direction",Other,0,Clear,NA,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.37338279,-71.11948395
4182768,CAMBRIDGE,04/28/2016,Non-fatal injury,Closed,16:17:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,65-74,04:00PM to 04:59PM,Collision with pedestrian,Daylight,Single vehicle crash,Not reported,0,Clear,NA,V1:(Collision with pedestrian),NA,42.37260995,-71.09870238
4182769,CAMBRIDGE,04/28/2016,Property damage only (none injured),Closed,15:12:00,2016,No injury,1,Local police,NA,65-74,03:00PM to 03:59PM,Collision with parked motor vehicle,Daylight,"Sideswipe, same direction",Dry,0,Clear/Clear,NA,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",30,NA,NA
4185336,CAMBRIDGE,05/02/2016,Non-fatal injury,Closed,11:49:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,55-64,11:00AM to 11:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Wet,0,Cloudy/Rain,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",30,42.36501392,-71.10458992
4186717,CAMBRIDGE,05/03/2016,Non-fatal injury,Closed,12:08:00,2016,Non-fatal injury - Possible,1,Local police,NA,25-34,12:00PM to 12:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Wet,0,Rain/Cloudy,NA,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.37007682,-71.10293138
4186722,CAMBRIDGE,05/04/2016,Non-fatal injury,Closed,17:48:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,35-44,05:00PM to 05:59PM,Not reported,Dusk,Head-on,Wet,0,Rain,NA,V1:(Collision with pedestrian),30,42.38130889,-71.13732311
4186723,CAMBRIDGE,05/04/2016,Property damage only (none injured),Closed,23:10:00,2016,No injury,1,Local police,NA,55-64,11:00PM to 11:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Dark - lighted roadway,Single vehicle crash,Wet,0,Rain,NA,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",30,42.35737323,-71.10802434
4186985,CAMBRIDGE,02/21/2016,Non-fatal injury,Closed,15:00:00,2016,Non-fatal injury - Incapacitating,2,Local police,NA,35-44,03:00PM to 03:59PM,Collision with pedestrian,Daylight,Head-on,Dry,0,Clear,"Yes, hit and run",V1:(Collision with pedestrian) / V2:(Collision with pedestrian),NA,42.37228335,-71.12188242
4186988,CAMBRIDGE,02/21/2016,Non-fatal injury,Closed,19:49:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,NA,07:00PM to 07:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Dark - lighted roadway,Rear-end,Dry,0,Clear,"Yes, hit and run","V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",35,42.36578954,-71.09209283
4187708,CAMBRIDGE,02/23/2016,Non-fatal injury,Closed,00:15:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,35-44,12:00AM to 12:59AM,Collision with pedestrian,Dark - lighted roadway,Single vehicle crash,Dry,0,Clear,NA,V1:(Collision with pedestrian),30,42.36993633,-71.09619402
4190680,CAMBRIDGE,05/12/2016,Non-fatal injury,Closed,08:20:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,45-54,08:00AM to 08:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.36297997,-71.09958897
4225196,CAMBRIDGE,07/27/2016,Not Reported,Closed,14:59:00,2016,Not Applicable,1,Local police,NA,55-64,02:00PM to 02:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear/Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.37007682,-71.10293138
4221939,CAMBRIDGE,07/21/2016,Non-fatal injury,Closed,08:45:00,2016,Non-fatal injury - Possible,1,Local police,NA,25-34,08:00AM to 08:59AM,Collision with parked motor vehicle,Daylight,Angle,Dry,0,Clear,NA,V1:(Collision with pedestrian),NA,42.36963579,-71.08014563
4221808,CAMBRIDGE,07/21/2016,Unknown,Closed,22:15:00,2016,Not reported,1,Local police,NA,55-64,10:00PM to 10:59PM,Collision with pedestrian,Dark - lighted roadway,Single vehicle crash,Dry,0,Clear,NA,V1:(Collision with pedestrian),NA,42.37058122,-71.11357595
4220936,CAMBRIDGE,06/23/2016,Non-fatal injury,Closed,13:15:00,2016,Non-fatal injury - Non-incapacitating,1,State police,H,55-64,01:00PM to 01:59PM,Collision with pedestrian,Daylight,Single vehicle crash,Dry,0,Clear,No hit and run,V1:(Collision with pedestrian),35,42.36981846,-71.12245564
4220888,CAMBRIDGE,07/16/2016,Non-fatal injury,Closed,21:40:00,2016,Non-fatal injury - Non-incapacitating,1,State police,H,18-20,09:00PM to 09:59PM,Collision with pedestrian,Dark - lighted roadway,Angle,Dry,0,Clear/Cloudy,"Yes, hit and run",V1:(Collision with pedestrian),25,42.36419522,-71.07691611
4220623,CAMBRIDGE,06/22/2016,Non-fatal injury,Closed,17:28:00,2016,Non-fatal injury - Non-incapacitating,1,State police,H,55-64,05:00PM to 05:59PM,Collision with pedestrian,Daylight,Angle,Dry,0,Clear/Cloudy,No hit and run,V1:(Collision with pedestrian),30,42.3592448,-71.08714593
4220615,CAMBRIDGE,05/25/2016,Non-fatal injury,Closed,19:27:00,2016,Non-fatal injury - Non-incapacitating,1,State police,H,25-34,07:00PM to 07:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",30,42.35399831,-71.11101904
4218300,CAMBRIDGE,07/18/2016,Non-fatal injury,Closed,11:30:00,2016,Non-fatal injury - Possible,1,Local police,NA,65-74,11:00AM to 11:59AM,Collision with pedestrian,Daylight,Angle,Dry,0,Clear,NA,V1:(Collision with pedestrian),NA,42.36083373,-71.0959972
4218224,CAMBRIDGE,07/18/2016,Non-fatal injury,Closed,08:08:00,2016,Non-fatal injury - Possible,1,Local police,NA,25-34,08:00AM to 08:59AM,Collision with pedestrian,Daylight,Angle,Dry,0,Clear,NA,V1:(Collision with pedestrian),NA,42.36515433,-71.10615511
4217807,CAMBRIDGE,07/16/2016,Non-fatal injury,Closed,21:26:00,2016,Non-fatal injury - Possible,1,Local police,NA,25-34,09:00PM to 09:59PM,Collision with pedestrian,Dark - lighted roadway,Single vehicle crash,Dry,0,Clear,NA,V1:(Collision with pedestrian),30,42.38716771,-71.12822988
4217234,CAMBRIDGE,07/12/2016,Non-fatal injury,Closed,08:45:00,2016,Non-fatal injury - Possible,1,Local police,NA,55-64,08:00AM to 08:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear,NA,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.36265402,-71.09905689
4212196,CAMBRIDGE,07/02/2016,Not Reported,Closed,13:16:00,2016,Not reported,1,Local police,NA,21-24,01:00PM to 01:59PM,Collision with motor vehicle in traffic,Daylight,Angle,Dry,0,Cloudy,NA,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.37372467,-71.100820100000007
4211409,CAMBRIDGE,06/30/2016,Not Reported,Closed,15:27:00,2016,Not reported,1,Local police,NA,25-34,03:00PM to 03:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Cloudy,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.36993633,-71.09619402
4209418,CAMBRIDGE,06/24/2016,Non-fatal injury,Closed,18:30:00,2016,Non-fatal injury - Possible,1,Local police,NA,NA,06:00PM to 06:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Rear-end,Dry,0,Clear,"Yes, hit and run","V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",30,42.39118847,-71.13274848
4208543,CAMBRIDGE,06/22/2016,Non-fatal injury,Closed,08:35:00,2016,Non-fatal injury - Possible,1,Local police,NA,35-44,08:00AM to 08:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,"Sideswipe, same direction",Dry,0,Clear/Cloudy,NA,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.36652235,-71.08804537
4207320,CAMBRIDGE,06/19/2016,Non-fatal injury,Closed,16:06:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,45-54,04:00PM to 04:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,"Sideswipe, same direction",Dry,0,Clear,NA,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",30,42.37221741,-71.11556929
4207194,CAMBRIDGE,06/19/2016,Unknown,Closed,16:12:00,2016,Not reported,1,Local police,NA,55-64,04:00PM to 04:59PM,Collision with pedestrian,Daylight,Angle,Dry,0,Clear,NA,V1:(Collision with pedestrian),NA,42.36186778,-71.10078567
4206257,CAMBRIDGE,06/15/2016,Property damage only (none injured),Closed,19:35:00,2016,No injury,1,Local police,NA,35-44,07:00PM to 07:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Dusk,Single vehicle crash,Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",30,42.37108482,-71.11609824
4205671,CAMBRIDGE,06/14/2016,Non-fatal injury,Closed,13:00:00,2016,Non-fatal injury - Possible,1,Local police,NA,55-64,01:00PM to 01:59PM,Collision with pedestrian,Daylight,Unknown,Dry,0,Clear,No hit and run,V1:(Collision with pedestrian),NA,42.36981846,-71.12245564
4205670,CAMBRIDGE,06/14/2016,Non-fatal injury,Closed,11:10:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,65-74,11:00AM to 11:59AM,Collision with pedestrian,Daylight,Single vehicle crash,Dry,0,Clear,NA,V1:(Collision with pedestrian),30,42.36900353,-71.11025902
4203859,CAMBRIDGE,06/09/2016,Non-fatal injury,Closed,10:00:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,35-44,10:00AM to 10:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear,NA,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.37212375,-71.08849454
4203087,CAMBRIDGE,06/08/2016,Non-fatal injury,Closed,14:15:00,2016,Non-fatal injury - Possible,1,Local police,NA,25-34,02:00PM to 02:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear,NA,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.36016348,-71.09484827
4202887,CAMBRIDGE,06/08/2016,Non-fatal injury,Closed,16:40:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,35-44,04:00PM to 04:59PM,Collision with pedestrian,Daylight,Not reported,Dry,0,Clear,NA,V1:(Collision with pedestrian),30,42.36254709,-71.09679961
4202886,CAMBRIDGE,06/08/2016,Non-fatal injury,Closed,16:31:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,55-64,04:00PM to 04:59PM,Collision with pedestrian,Daylight,Rear-end,Dry,0,Clear,No hit and run,V1:(Collision with pedestrian),25,NA,NA
4201939,CAMBRIDGE,06/07/2016,Property damage only (none injured),Closed,22:29:00,2016,No injury,1,Local police,NA,NA,10:00PM to 10:59PM,Collision with pedestrian,Daylight,"Sideswipe, same direction",Dry,0,Clear,"Yes, hit and run",V1:(Collision with pedestrian),30,42.3894274,-71.11995819
4200987,CAMBRIDGE,06/06/2016,Non-fatal injury,Closed,19:24:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,45-54,07:00PM to 07:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear,NA,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.36083373,-71.0959972
4200354,CAMBRIDGE,06/05/2016,Not Reported,Closed,22:45:00,2016,Not Applicable,1,Local police,NA,NA,10:00PM to 10:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Dark - lighted roadway,Angle,Wet,0,Rain/Cloudy,"Yes, hit and run","V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",35,42.36083373,-71.0959972
4199399,CAMBRIDGE,06/01/2016,Non-fatal injury,Closed,12:00:00,2016,Non-fatal injury - Possible,1,Local police,NA,35-44,12:00PM to 12:59PM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,"Sideswipe, same direction",Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.37370476,-71.1188385
4197740,CAMBRIDGE,05/28/2016,Non-fatal injury,Closed,10:30:00,2016,Non-fatal injury - Possible,1,Local police,NA,45-54,10:00AM to 10:59AM,Collision with pedestrian,Daylight,Unknown,Dry,0,Clear/Clear,NA,V1:(Collision with pedestrian),30,42.36507209,-71.10318132
4197739,CAMBRIDGE,05/28/2016,Property damage only (none injured),Closed,07:46:00,2016,No injury,1,Local police,NA,>84,07:00AM to 07:59AM,Not reported,Daylight,Angle,Dry,0,Clear,NA,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.38711555,-71.13160629
4197649,CAMBRIDGE,05/27/2016,Non-fatal injury,Closed,15:13:00,2016,Non-fatal injury - Possible,1,Local police,NA,25-34,03:00PM to 03:59PM,Not reported,Daylight,"Sideswipe, same direction",Dry,0,Clear,NA,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.36852372,-71.09900754
4196531,CAMBRIDGE,05/25/2016,Non-fatal injury,Closed,10:16:00,2016,Non-fatal injury - Incapacitating,1,Local police,NA,35-44,10:00AM to 10:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Angle,Dry,0,Clear/Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.36001181,-71.08763862
4196447,CAMBRIDGE,05/25/2016,Non-fatal injury,Closed,11:12:00,2016,Non-fatal injury - Non-incapacitating,1,Local police,NA,>84,11:00AM to 11:59AM,"Collision with pedalcycle (bicycle, tricycle, unicycle, pedal car)",Daylight,Single vehicle crash,Dry,0,Clear,No hit and run,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",NA,42.37435283,-71.11879817
